symbol,start_date,end_date,label,precision,recall,f1,support
WLDUSDC,2024-12-31,2025-01-07,0,0.33,0.0,0.0,954.0
WLDUSDC,2024-12-31,2025-01-07,1,0.6,1.0,0.75,2912.0
WLDUSDC,2024-12-31,2025-01-07,2,0.33,0.01,0.01,999.0
WLDUSDC,2024-12-31,2025-01-07,accuracy,0.6,4865.0,,
WLDUSDC,2024-12-31,2025-01-07,macro avg,0.42,0.33,0.25,4865.0
WLDUSDC,2024-12-31,2025-01-07,weighted avg,0.49,0.6,0.45,4865.0
WLDUSDC,2025-01-01,2025-01-08,0,0.0,0.0,0.0,1128.0
WLDUSDC,2025-01-01,2025-01-08,1,0.65,0.01,0.03,2906.0
WLDUSDC,2025-01-01,2025-01-08,2,0.21,0.99,0.34,1054.0
WLDUSDC,2025-01-01,2025-01-08,accuracy,0.21,5088.0,,
WLDUSDC,2025-01-01,2025-01-08,macro avg,0.29,0.33,0.12,5088.0
WLDUSDC,2025-01-01,2025-01-08,weighted avg,0.42,0.21,0.09,5088.0
WLDUSDC,2025-01-02,2025-01-09,0,0.75,0.0,0.0,1225.0
WLDUSDC,2025-01-02,2025-01-09,1,1.0,0.0,0.0,2730.0
WLDUSDC,2025-01-02,2025-01-09,2,0.22,1.0,0.36,1109.0
WLDUSDC,2025-01-02,2025-01-09,accuracy,0.22,5064.0,,
WLDUSDC,2025-01-02,2025-01-09,macro avg,0.66,0.33,0.12,5064.0
WLDUSDC,2025-01-02,2025-01-09,weighted avg,0.77,0.22,0.08,5064.0
WLDUSDC,2025-01-03,2025-01-10,0,0.75,0.0,0.0,1295.0
WLDUSDC,2025-01-03,2025-01-10,1,0.0,0.0,0.0,2656.0
WLDUSDC,2025-01-03,2025-01-10,2,0.22,1.0,0.37,1135.0
WLDUSDC,2025-01-03,2025-01-10,accuracy,0.22,5086.0,,
WLDUSDC,2025-01-03,2025-01-10,macro avg,0.32,0.33,0.12,5086.0
WLDUSDC,2025-01-03,2025-01-10,weighted avg,0.24,0.22,0.08,5086.0
WLDUSDC,2025-01-04,2025-01-11,0,0.0,0.0,0.0,1276.0
WLDUSDC,2025-01-04,2025-01-11,1,0.0,0.0,0.0,2531.0
WLDUSDC,2025-01-04,2025-01-11,2,0.23,1.0,0.38,1144.0
WLDUSDC,2025-01-04,2025-01-11,accuracy,0.23,4951.0,,
WLDUSDC,2025-01-04,2025-01-11,macro avg,0.08,0.33,0.13,4951.0
WLDUSDC,2025-01-04,2025-01-11,weighted avg,0.05,0.23,0.09,4951.0
WLDUSDC,2025-01-05,2025-01-12,0,0.0,0.0,0.0,1267.0
WLDUSDC,2025-01-05,2025-01-12,1,0.0,0.0,0.0,2403.0
WLDUSDC,2025-01-05,2025-01-12,2,0.24,1.0,0.38,1129.0
WLDUSDC,2025-01-05,2025-01-12,accuracy,0.24,4799.0,,
WLDUSDC,2025-01-05,2025-01-12,macro avg,0.08,0.33,0.13,4799.0
WLDUSDC,2025-01-05,2025-01-12,weighted avg,0.06,0.24,0.09,4799.0
WLDUSDC,2025-01-06,2025-01-13,0,0.28,1.0,0.44,1365.0
WLDUSDC,2025-01-06,2025-01-13,1,0.0,0.0,0.0,2337.0
WLDUSDC,2025-01-06,2025-01-13,2,0.0,0.0,0.0,1110.0
WLDUSDC,2025-01-06,2025-01-13,accuracy,0.28,4812.0,,
WLDUSDC,2025-01-06,2025-01-13,macro avg,0.09,0.33,0.15,4812.0
WLDUSDC,2025-01-06,2025-01-13,weighted avg,0.08,0.28,0.13,4812.0
WLDUSDC,2025-01-07,2025-01-14,0,0.0,0.0,0.0,1257.0
WLDUSDC,2025-01-07,2025-01-14,1,0.0,0.0,0.0,2358.0
WLDUSDC,2025-01-07,2025-01-14,2,0.24,1.0,0.38,1113.0
WLDUSDC,2025-01-07,2025-01-14,accuracy,0.24,4728.0,,
WLDUSDC,2025-01-07,2025-01-14,macro avg,0.08,0.33,0.13,4728.0
WLDUSDC,2025-01-07,2025-01-14,weighted avg,0.06,0.24,0.09,4728.0
WLDUSDC,2025-01-08,2025-01-15,0,0.0,0.0,0.0,1112.0
WLDUSDC,2025-01-08,2025-01-15,1,0.0,0.0,0.0,2409.0
WLDUSDC,2025-01-08,2025-01-15,2,0.24,1.0,0.39,1124.0
WLDUSDC,2025-01-08,2025-01-15,accuracy,0.24,4645.0,,
WLDUSDC,2025-01-08,2025-01-15,macro avg,0.08,0.33,0.13,4645.0
WLDUSDC,2025-01-08,2025-01-15,weighted avg,0.06,0.24,0.09,4645.0
WLDUSDC,2025-01-09,2025-01-16,0,0.0,0.0,0.0,1052.0
WLDUSDC,2025-01-09,2025-01-16,1,0.0,0.0,0.0,2556.0
WLDUSDC,2025-01-09,2025-01-16,2,0.23,1.0,0.38,1095.0
WLDUSDC,2025-01-09,2025-01-16,accuracy,0.23,4703.0,,
WLDUSDC,2025-01-09,2025-01-16,macro avg,0.08,0.33,0.13,4703.0
WLDUSDC,2025-01-09,2025-01-16,weighted avg,0.05,0.23,0.09,4703.0
WLDUSDC,2025-01-10,2025-01-17,0,0.0,0.0,0.0,1033.0
WLDUSDC,2025-01-10,2025-01-17,1,0.0,0.0,0.0,2541.0
WLDUSDC,2025-01-10,2025-01-17,2,0.23,1.0,0.38,1091.0
WLDUSDC,2025-01-10,2025-01-17,accuracy,0.23,4665.0,,
WLDUSDC,2025-01-10,2025-01-17,macro avg,0.08,0.33,0.13,4665.0
WLDUSDC,2025-01-10,2025-01-17,weighted avg,0.05,0.23,0.09,4665.0
WLDUSDC,2025-01-11,2025-01-18,0,0.0,0.0,0.0,1208.0
WLDUSDC,2025-01-11,2025-01-18,1,0.0,0.0,0.0,2516.0
WLDUSDC,2025-01-11,2025-01-18,2,0.24,1.0,0.38,1165.0
WLDUSDC,2025-01-11,2025-01-18,accuracy,0.24,4889.0,,
WLDUSDC,2025-01-11,2025-01-18,macro avg,0.08,0.33,0.13,4889.0
WLDUSDC,2025-01-11,2025-01-18,weighted avg,0.06,0.24,0.09,4889.0
WLDUSDC,2025-01-12,2025-01-19,0,0.27,1.0,0.42,1375.0
WLDUSDC,2025-01-12,2025-01-19,1,0.0,0.0,0.0,2490.0
WLDUSDC,2025-01-12,2025-01-19,2,0.0,0.0,0.0,1316.0
WLDUSDC,2025-01-12,2025-01-19,accuracy,0.27,5181.0,,
WLDUSDC,2025-01-12,2025-01-19,macro avg,0.09,0.33,0.14,5181.0
WLDUSDC,2025-01-12,2025-01-19,weighted avg,0.07,0.27,0.11,5181.0
WLDUSDC,2025-01-13,2025-01-20,0,0.26,1.0,0.42,1384.0
WLDUSDC,2025-01-13,2025-01-20,1,0.0,0.0,0.0,2486.0
WLDUSDC,2025-01-13,2025-01-20,2,0.0,0.0,0.0,1354.0
WLDUSDC,2025-01-13,2025-01-20,accuracy,0.26,5224.0,,
WLDUSDC,2025-01-13,2025-01-20,macro avg,0.09,0.33,0.14,5224.0
WLDUSDC,2025-01-13,2025-01-20,weighted avg,0.07,0.26,0.11,5224.0
WLDUSDC,2025-01-14,2025-01-21,0,0.0,0.0,0.0,1465.0
WLDUSDC,2025-01-14,2025-01-21,1,0.0,0.0,0.0,2351.0
WLDUSDC,2025-01-14,2025-01-21,2,0.27,1.0,0.42,1407.0
WLDUSDC,2025-01-14,2025-01-21,accuracy,0.27,5223.0,,
WLDUSDC,2025-01-14,2025-01-21,macro avg,0.09,0.33,0.14,5223.0
WLDUSDC,2025-01-14,2025-01-21,weighted avg,0.07,0.27,0.11,5223.0
WLDUSDC,2025-01-15,2025-01-22,0,0.3,1.0,0.47,1643.0
WLDUSDC,2025-01-15,2025-01-22,1,0.0,0.0,0.0,2250.0
WLDUSDC,2025-01-15,2025-01-22,2,0.0,0.0,0.0,1516.0
WLDUSDC,2025-01-15,2025-01-22,accuracy,0.3,5409.0,,
WLDUSDC,2025-01-15,2025-01-22,macro avg,0.1,0.33,0.16,5409.0
WLDUSDC,2025-01-15,2025-01-22,weighted avg,0.09,0.3,0.14,5409.0
WLDUSDC,2025-01-16,2025-01-23,0,0.0,0.0,0.0,1773.0
WLDUSDC,2025-01-16,2025-01-23,1,0.0,0.0,0.0,2075.0
WLDUSDC,2025-01-16,2025-01-23,2,0.29,1.0,0.45,1592.0
WLDUSDC,2025-01-16,2025-01-23,accuracy,0.29,5440.0,,
WLDUSDC,2025-01-16,2025-01-23,macro avg,0.1,0.33,0.15,5440.0
WLDUSDC,2025-01-16,2025-01-23,weighted avg,0.09,0.29,0.13,5440.0
WLDUSDC,2025-01-17,2025-01-24,0,0.0,0.0,0.0,1893.0
WLDUSDC,2025-01-17,2025-01-24,1,0.0,0.0,0.0,2018.0
WLDUSDC,2025-01-17,2025-01-24,2,0.3,1.0,0.46,1637.0
WLDUSDC,2025-01-17,2025-01-24,accuracy,0.3,5548.0,,
WLDUSDC,2025-01-17,2025-01-24,macro avg,0.1,0.33,0.15,5548.0
WLDUSDC,2025-01-17,2025-01-24,weighted avg,0.09,0.3,0.13,5548.0
WLDUSDC,2025-01-18,2025-01-25,0,0.0,0.0,0.0,1736.0
WLDUSDC,2025-01-18,2025-01-25,1,0.0,0.0,0.0,2040.0
WLDUSDC,2025-01-18,2025-01-25,2,0.3,1.0,0.46,1594.0
WLDUSDC,2025-01-18,2025-01-25,accuracy,0.3,5370.0,,
WLDUSDC,2025-01-18,2025-01-25,macro avg,0.1,0.33,0.15,5370.0
WLDUSDC,2025-01-18,2025-01-25,weighted avg,0.09,0.3,0.14,5370.0
WLDUSDC,2025-01-19,2025-01-26,0,0.0,0.0,0.0,1584.0
WLDUSDC,2025-01-19,2025-01-26,1,0.0,0.0,0.0,2134.0
WLDUSDC,2025-01-19,2025-01-26,2,0.28,1.0,0.44,1448.0
WLDUSDC,2025-01-19,2025-01-26,accuracy,0.28,5166.0,,
WLDUSDC,2025-01-19,2025-01-26,macro avg,0.09,0.33,0.15,5166.0
WLDUSDC,2025-01-19,2025-01-26,weighted avg,0.08,0.28,0.12,5166.0
WLDUSDC,2025-01-20,2025-01-27,0,0.0,0.0,0.0,1567.0
WLDUSDC,2025-01-20,2025-01-27,1,0.0,0.0,0.0,2146.0
WLDUSDC,2025-01-20,2025-01-27,2,0.28,1.0,0.43,1423.0
WLDUSDC,2025-01-20,2025-01-27,accuracy,0.28,5136.0,,
WLDUSDC,2025-01-20,2025-01-27,macro avg,0.09,0.33,0.14,5136.0
WLDUSDC,2025-01-20,2025-01-27,weighted avg,0.08,0.28,0.12,5136.0
WLDUSDC,2025-01-21,2025-01-28,0,0.0,0.0,0.0,1574.0
